Best Parameters: {'max_depth': 17, 'num_leaves': 46, 'min_data_in_leaf': 300, 'feature_fraction': 0.9727807801928241, 'learning_rate': 0.08976609709006421, 'num_boost_round': 957}
Best Score: 48700.069011337844
Trial 0, Value: 63649.78617402967, Params: {'max_depth': 12, 'num_leaves': 40, 'min_data_in_leaf': 69, 'feature_fraction': 0.3745295367267663, 'learning_rate': 0.07108366931075459, 'num_boost_round': 699}
Trial 1, Value: 73807.11604672599, Params: {'max_depth': 24, 'num_leaves': 6, 'min_data_in_leaf': 99, 'feature_fraction': 0.6694749351829322, 'learning_rate': 0.01805284556298793, 'num_boost_round': 344}
Trial 2, Value: 74262.64964135928, Params: {'max_depth': 10, 'num_leaves': 4, 'min_data_in_leaf': 113, 'feature_fraction': 0.30105412757763894, 'learning_rate': 0.03829899836723505, 'num_boost_round': 862}
Trial 3, Value: 55385.489020809284, Params: {'max_depth': 18, 'num_leaves': 32, 'min_data_in_leaf': 45, 'feature_fraction': 0.7596639254638231, 'learning_rate': 0.07117288988471918, 'num_boost_round': 559}
Trial 4, Value: 56670.97988800993, Params: {'max_depth': 11, 'num_leaves': 36, 'min_data_in_leaf': 171, 'feature_fraction': 0.6273338611804724, 'learning_rate': 0.042667284399786266, 'num_boost_round': 975}
Trial 5, Value: 59758.20411327116, Params: {'max_depth': 9, 'num_leaves': 35, 'min_data_in_leaf': 26, 'feature_fraction': 0.8718403330497682, 'learning_rate': 0.0450151009169071, 'num_boost_round': 260}
Trial 6, Value: 71079.56912506392, Params: {'max_depth': 18, 'num_leaves': 8, 'min_data_in_leaf': 282, 'feature_fraction': 0.3577119632614396, 'learning_rate': 0.05494746515763944, 'num_boost_round': 292}
Trial 7, Value: 52833.04574768535, Params: {'max_depth': 14, 'num_leaves': 32, 'min_data_in_leaf': 120, 'feature_fraction': 0.8854200791892526, 'learning_rate': 0.05170520241925209, 'num_boost_round': 866}
Trial 8, Value: 62990.15035664273, Params: {'max_depth': 12, 'num_leaves': 50, 'min_data_in_leaf': 249, 'feature_fraction': 0.5304507240028065, 'learning_rate': 0.02683527743068953, 'num_boost_round': 623}
Trial 9, Value: 65949.95393258998, Params: {'max_depth': 11, 'num_leaves': 47, 'min_data_in_leaf': 81, 'feature_fraction': 0.35187708059413025, 'learning_rate': 0.03186633934881531, 'num_boost_round': 451}
Trial 10, Value: 78764.04340446347, Params: {'max_depth': 1, 'num_leaves': 19, 'min_data_in_leaf': 179, 'feature_fraction': 0.9945993155386774, 'learning_rate': 0.010255456514021558, 'num_boost_round': 782}
Trial 11, Value: 56361.80365151945, Params: {'max_depth': 18, 'num_leaves': 23, 'min_data_in_leaf': 34, 'feature_fraction': 0.8108737546310395, 'learning_rate': 0.09990486568648485, 'num_boost_round': 520}
Trial 12, Value: 53263.87217493468, Params: {'max_depth': 18, 'num_leaves': 30, 'min_data_in_leaf': 132, 'feature_fraction': 0.8116081007346043, 'learning_rate': 0.07261312467867134, 'num_boost_round': 965}
Trial 13, Value: 49879.24992356453, Params: {'max_depth': 23, 'num_leaves': 27, 'min_data_in_leaf': 146, 'feature_fraction': 0.9741945118884516, 'learning_rate': 0.0991369634673417, 'num_boost_round': 948}
Trial 14, Value: 52310.61235989729, Params: {'max_depth': 24, 'num_leaves': 20, 'min_data_in_leaf': 209, 'feature_fraction': 0.9931375615830396, 'learning_rate': 0.09753222270150419, 'num_boost_round': 861}
Trial 15, Value: 55241.11038795373, Params: {'max_depth': 25, 'num_leaves': 15, 'min_data_in_leaf': 222, 'feature_fraction': 0.9821242084698678, 'learning_rate': 0.09828243711612274, 'num_boost_round': 763}
Trial 16, Value: 59658.55041936773, Params: {'max_depth': 22, 'num_leaves': 24, 'min_data_in_leaf': 209, 'feature_fraction': 0.9342505522364374, 'learning_rate': 0.01920289504981468, 'num_boost_round': 995}
Trial 17, Value: 57960.85655972168, Params: {'max_depth': 21, 'num_leaves': 14, 'min_data_in_leaf': 160, 'feature_fraction': 0.7022386235740969, 'learning_rate': 0.08223752150271749, 'num_boost_round': 858}
